iter,nll_p,nll_m,best_nll,grad_scale,sec
1,1.7763217302635312,1.7027007990181446,1.5874729817733169,0.2454031041512887,308
2,1.6684328780658544,1.6791552635543048,1.5874729817733169,-0.03574128496150131,292
3,1.7394809354990721,1.9357245013788342,1.5874729817733169,-0.654145219599207,291
4,1.732183384500444,1.6164313262254,1.5874729817733169,0.3858401942501466,292
5,1.7113159403204918,1.6364437907487155,1.5874729817733169,0.24957383190592117,290
6,1.621822596974671,1.6121987060904504,1.5874729817733169,0.03207963628073518,291
