iter,qwen_nll,yes_prob,perceptual,reg,total,g_audio,g_text,dz_audio,d_text,lr,is_best,t_total,peak_mem
1,1.5019289255142212,0.22270017352893068,1.1441945389378816e-05,0.0,1.5019289255142212,5.596735000610352,9.47256088256836,1.6995413303375244,1437.4732666015625,0.03,0,179,g0:76.6G g1:76.0G
2,0.7575989961624146,0.468790644981626,0.012430387549102306,1.9004928617505357e-05,0.7576180010910321,1.2703933715820312,4.274165630340576,3.1888904571533203,2499.09326171875,0.029185850380609762,1,181,g0:76.7G g1:76.0G
3,0.42870062589645386,0.6513548987840652,0.011339529417455196,0.00013494551240000874,0.42883557140885387,0.15384700894355774,0.23103287816047668,4.622683048248291,3671.301025390625,0.026841599982106203,1,179,g0:76.7G g1:76.0G
4,0.6325989961624146,0.5312093941731293,0.012444864958524704,0.0005467451992444694,0.633145741361659,0.17019972205162048,0.4774271845817566,5.671969890594482,4483.8916015625,0.02325,0,184,g0:76.7G g1:76.0G
5,0.3484445810317993,0.705785027818136,0.013243811205029488,0.0012835614616051316,0.34972814249340445,0.12046732008457184,0.35590431094169617,6.20997428894043,4903.84716796875,0.01884425039850356,1,179,g0:76.7G g1:76.0G
6,0.42870062589645386,0.6513548987840652,0.014217753894627094,0.0021308662835508585,0.4308314921800047,0.6900456547737122,0.8631756901741028,6.356632232666016,5001.2763671875,0.01415574960149644,0,181,g0:76.7G g1:76.0G
7,0.4740769565105438,0.6224593484250324,0.013489876873791218,0.002798839006572962,0.4768757955171168,1.781660795211792,1.5942727327346802,6.34898567199707,5039.3798828125,0.009750000000000003,0,179,g0:76.7G g1:76.0G
8,0.5759393572807312,0.5621765360769869,0.06401477009057999,0.003322465345263481,0.5792618226259947,1.595486044883728,2.1411640644073486,6.380223751068115,5055.74462890625,0.006158400017893798,0,182,g0:76.7G g1:76.0G
9,1.1368709802627563,0.32082130911852547,0.014143216423690319,0.003660745918750763,1.140531726181507,2.63136625289917,2.0191237926483154,6.4070048332214355,5063.59716796875,0.0038141496193902376,0,179,g0:76.7G g1:76.0G
10,0.6931471824645996,0.49999999904767284,0.06956155598163605,0.0037827277556061745,0.6969299102202058,6.05438756942749,4.653252124786377,6.425747871398926,5066.86962890625,0.003,0,181,g0:76.7G g1:76.0G
