iter,qwen_nll,yes_prob,nll_4win,yes_4win,nll_any,yes_any,nll_max,perceptual,reg,total,sel,g_audio,g_text,dz_audio,d_text,lr,is_best,t_total,peak_mem
1,3.1246465176564446,0.04395246729895153,5.150238990783691,0.005798018888169463,3.1246465176564446,0.04395246729895153,4.601649284362793,9.357144153909758e-05,0.0,3.1246465176564446,3.1247400890979837,0.0,2.029334306716919,0.0,1246.267822265625,0.03,0,181,g0:76.6G g1:76.0G
2,3.2643926021657026,0.03822014286679165,5.160646438598633,0.005737989228776122,3.2643926021657026,0.03822014286679165,4.459819793701172,0.01111753098666668,0.0,3.2643926021657026,3.2755101331523693,0.0,1.6836447715759277,0.0,2030.857421875,0.029704992609906375,0,185,g0:76.8G g1:76.0G
3,2.7371491024704313,0.06475469298666303,4.531172215938568,0.010768046196339504,2.7371491024704313,0.06475469298666303,3.9463050365448,0.04408557713031769,0.0,2.7371491024704313,2.781234679600749,0.0,4.86374044418335,0.0,2446.151123046875,0.02883286367817511,1,182,g0:76.8G g1:76.0G
4,1.5375880166925644,0.2148988091652735,3.834813565015793,0.021605366090805402,1.5375880166925644,0.2148988091652735,1.9135936498641968,0.025526978075504303,0.0,1.5375880166925644,1.5631149947680687,0.0,9.787579536437988,0.0,2786.6689453125,0.027421729424061788,1,187,g0:76.7G g1:76.0G
5,0.39816218835863426,0.671553100733765,2.7120590433478355,0.06639994549570942,0.39816218835863426,0.671553100733765,0.4248708188533783,0.04144615679979324,0.0,0.39816218835863426,0.4396083451584275,0.0,0.20509137213230133,0.0,3428.05419921875,0.025533263185844587,1,182,g0:76.7G g1:76.0G
6,3.1949115120176477,0.04097015058164865,5.114424824714661,0.006009433318097216,3.1949115120176477,0.04097015058164865,4.317207336425781,0.0192430280148983,0.0,3.1949115120176477,3.214154540032546,0.0,1.7159311771392822,0.0,3851.088134765625,0.02325,0,186,g0:76.7G g1:76.0G
7,3.178820737008993,0.04163472447236271,5.030643582344055,0.00653460366140617,3.178820737008993,0.04163472447236271,4.552096366882324,0.02929052524268627,0.0,3.178820737008993,3.208111262251679,0.0,0.3475649356842041,0.0,4316.21875,0.02067172942406179,0,181,g0:76.8G g1:76.0G
8,3.317322928368985,0.0362497451384729,5.101812124252319,0.0060857085073909925,3.317322928368985,0.0362497451384729,4.476406097412109,0.03573640063405037,0.0,3.317322928368985,3.3530593290030355,0.0,2.640117645263672,0.0,4414.4052734375,0.017911134254113323,0,184,g0:76.8G g1:76.0G
9,0.940341505319774,0.39049445665075977,3.948272407054901,0.01928799481246158,0.940341505319774,0.39049445665075977,1.1419225931167603,0.2893012464046478,0.0,0.940341505319774,1.229642751724422,0.0,1.5002329349517822,0.0,4520.04931640625,0.01508886574588668,0,185,g0:76.8G g1:76.0G
10,1.991086028294094,0.1365470509298613,4.652533233165741,0.00953741081721748,1.991086028294094,0.1365470509298613,2.1737401485443115,0.32407402992248535,0.0,1.991086028294094,2.3151600582165797,0.0,4.0074615478515625,0.0,4564.08251953125,0.012328270575938213,0,187,g0:76.8G g1:76.0G
11,1.0459708718026954,0.3513505374047239,2.9812066853046417,0.05073157986327703,1.0459708718026954,0.3513505374047239,1.8912451267242432,0.3103122413158417,0.0,1.0459708718026954,1.356283113118537,0.0,2.774573802947998,0.0,4605.201171875,0.009750000000000003,0,184,g0:76.8G g1:76.0G
12,1.7207674810180134,0.1789287707659214,3.634029984474182,0.02640953963014587,1.7207674810180134,0.1789287707659214,2.4038727283477783,0.32473888993263245,0.0,1.7207674810180134,2.045506370950646,0.0,4.195558071136475,0.0,4624.84326171875,0.007466736814155418,0,186,g0:76.8G g1:76.0G
13,1.8223299206882786,0.16164868322425177,3.515714466571808,0.0297265567340629,1.8223299206882786,0.16164868322425177,2.3501408100128174,0.31518223881721497,0.0,1.8223299206882786,2.1375121595054933,0.0,9.614477157592773,0.0,4633.58251953125,0.005578270575938212,0,184,g0:76.8G g1:76.0G
14,1.2848644290436322,0.27668809195863847,2.9181374311447144,0.05403423611705123,1.2848644290436322,0.27668809195863847,2.3124618530273438,0.3140723705291748,0.0,1.2848644290436322,1.598936799572807,0.0,2.442366361618042,0.0,4645.28857421875,0.004167136321824887,0,188,g0:76.8G g1:76.0G
15,0.901270927360568,0.40605326745410963,3.1834791898727417,0.04144122213161542,0.901270927360568,0.40605326745410963,1.526621699333191,0.31254395842552185,0.0,0.901270927360568,1.21381488578609,0.0,6.079044342041016,0.0,4649.4599609375,0.003295007390093623,0,185,g0:76.8G g1:76.0G
