iter,qwen_nll,yes_prob,nll_4win,yes_4win,nll_any,yes_any,nll_max,perceptual,reg,total,sel,g_audio,g_text,dz_audio,d_text,lr,is_best,t_total,peak_mem
1,3.1246465176564446,0.04395246729895153,5.150238990783691,0.005798018888169463,3.1246465176564446,0.04395246729895153,4.601649284362793,9.357144153909758e-05,0.0,3.1246465176564446,3.1247400890979837,0.32961344718933105,1.1687939167022705,2.2044384479522705,1246.2679443359375,0.03,0,182,g0:76.7G g1:76.0G
2,3.239312191720377,0.03919084161625497,5.199098825454712,0.005521538048911151,3.239312191720377,0.03919084161625497,4.409855842590332,0.010566591285169125,0.0,3.239312191720377,3.249878783005546,0.24723176658153534,1.3025662899017334,3.6754984855651855,1968.788818359375,0.029704992609906375,0,185,g0:76.8G g1:76.0G
3,0.37285712286424083,0.6887636343894196,3.302686482667923,0.036784214388568756,0.37285712286424083,0.6887636343894196,0.42756015062332153,0.06666067987680435,0.0,0.37285712286424083,0.4395178027410452,0.24590887129306793,1.2481828927993774,4.811318397521973,2543.5361328125,0.02883286367817511,1,183,g0:76.8G g1:76.0G
4,3.107462277053668,0.04471428394555088,4.9205769300460815,0.007294920973410781,3.107462277053668,0.04471428394555088,4.223312854766846,0.030735164880752563,0.0,3.107462277053668,3.1381974419344205,1.974349021911621,9.510176658630371,5.4049072265625,2817.431884765625,0.027421729424061788,0,188,g0:76.7G g1:76.0G
5,3.2322006390472455,0.039470542726498865,4.9757080078125,0.006903629385198149,3.2322006390472455,0.039470542726498865,4.516695022583008,0.03580906242132187,0.0,3.2322006390472455,3.2680097014685674,0.16621838510036469,0.43928608298301697,6.469973087310791,3407.30224609375,0.025533263185844587,0,183,g0:76.8G g1:76.0G
6,1.3898959000560818,0.24910123470654802,3.679955303668976,0.02522410223485499,1.3898959000560818,0.24910123470654802,2.040614128112793,0.028288573026657104,0.0,1.3898959000560818,1.4181844730827389,0.41670992970466614,1.0235189199447632,7.011949062347412,3920.92138671875,0.02325,0,188,g0:76.8G g1:76.0G
7,1.961535639053452,0.14064227922915784,3.2742456793785095,0.03784540603522243,1.961535639053452,0.14064227922915784,2.4439077377319336,0.032554954290390015,0.0,1.961535639053452,1.994090593343842,0.7052851915359497,3.8489742279052734,7.220608711242676,4066.646240234375,0.02067172942406179,0,189,g0:76.8G g1:76.0G
8,3.15927665825495,0.04245644049184394,4.918455719947815,0.007310411456922335,3.15927665825495,0.04245644049184394,4.490168571472168,0.03209035098552704,0.0,3.15927665825495,3.191367009240477,0.48589739203453064,1.0375862121582031,7.600927352905273,4279.80517578125,0.017911134254113323,0,185,g0:76.8G g1:76.0G
9,2.5828158394778793,0.07556093671337505,5.263139247894287,0.00517902094208547,2.5828158394778793,0.07556093671337505,2.987271785736084,0.14857520163059235,0.0,2.5828158394778793,2.7313910411084716,3.735015869140625,8.554370880126953,7.651552677154541,4337.34521484375,0.01508886574588668,0,186,g0:76.8G g1:76.0G
10,3.283454627215222,0.037498489485068516,4.944697141647339,0.007121071013350269,3.283454627215222,0.037498489485068516,4.643495082855225,0.02247314713895321,0.0,3.283454627215222,3.305927774354175,0.8896531462669373,4.219419479370117,7.762867450714111,4410.236328125,0.012328270575938213,0,184,g0:76.8G g1:76.0G
11,3.214037085640511,0.04019401859324389,5.1331627368927,0.005897877509817047,3.214037085640511,0.04019401859324389,4.465255260467529,0.02853846177458763,0.0,3.214037085640511,3.2425755474150986,0.44220036268234253,0.9972499012947083,7.947805881500244,4495.0625,0.009750000000000003,0,183,g0:76.8G g1:76.0G
12,3.2757081347263406,0.03779009927046972,5.095888733863831,0.006121863509052681,3.2757081347263406,0.03779009927046972,4.434424877166748,0.020607613027095795,0.0,3.2757081347263406,3.2963157477534364,1.7805017232894897,1.2631992101669312,8.002920150756836,4536.21630859375,0.007466736814155418,0,188,g0:76.8G g1:76.0G
13,2.989333208943497,0.05032097911829525,4.865329146385193,0.007709290288784081,2.989333208943497,0.05032097911829525,4.063894748687744,0.020108791068196297,0.0,2.989333208943497,3.0094420000116933,4.048225402832031,13.259026527404785,8.055403709411621,4543.0458984375,0.005578270575938212,0,185,g0:76.8G g1:76.0G
