iter,qwen_nll,yes_prob,nll_4win,yes_4win,nll_any,yes_any,nll_max,perceptual,reg,total,sel,g_audio,g_text,dz_audio,d_text,lr,is_best,t_total,peak_mem
1,3.190909324257341,0.04113444937484934,5.206025719642639,0.0054834231006007554,3.190909324257341,0.04113444937484934,4.652010917663574,0.0,0.0,3.190909324257341,3.190909324257341,0.0,15.575631141662598,0.0,1246.267822265625,0.03,0,177,g0:76.6G g1:76.0G
2,1.4365117295823362,0.23775566992349792,4.063234984874725,0.017193308958745747,1.4365117295823362,0.23775566992349792,1.6848629713058472,0.0327787809073925,0.0,1.4365117295823362,1.4692905104897287,0.0,13.733199119567871,0.0,2016.1864013671875,0.029704992609906375,1,185,g0:76.8G g1:76.0G
3,0.9478787336732896,0.3875622749032812,2.913752496242523,0.054271692960837115,0.9478787336732896,0.3875622749032812,1.1838703155517578,0.04380859434604645,0.0,0.9478787336732896,0.991687328019336,0.0,7.281736850738525,0.0,2738.47998046875,0.02883286367817511,1,181,g0:76.7G g1:76.0G
4,0.9675942418814489,0.37999611808432565,3.4861584901809692,0.03061826691331137,0.9675942418814489,0.37999611808432565,1.0951354503631592,0.03308980539441109,0.0,0.9675942418814489,1.00068404727586,0.0,13.52510929107666,0.0,3106.224365234375,0.027421729424061788,0,186,g0:76.7G g1:76.0G
5,3.1474778706232702,0.042960341883839126,4.898665070533752,0.007456530372084087,3.1474778706232702,0.042960341883839126,4.615741729736328,0.018954824656248093,0.0,3.1474778706232702,3.1664326952795183,0.0,1.281986951828003,0.0,3720.415771484375,0.025533263185844587,0,181,g0:76.8G g1:76.0G
6,3.025453207484443,0.04853581948804487,4.6972737312316895,0.009120107102846461,3.025453207484443,0.04853581948804487,4.643578052520752,0.07165855169296265,0.0,3.025453207484443,3.0971117591774058,0.0,1.6793633699417114,0.0,4211.66650390625,0.02325,0,184,g0:76.8G g1:76.0G
7,2.9808324057140587,0.05075057121203331,4.583209455013275,0.010222036427416904,2.9808324057140587,0.05075057121203331,4.506249904632568,0.07186131179332733,0.0,2.9808324057140587,3.052693717507386,0.0,0.8679920434951782,0.0,4584.66259765625,0.02067172942406179,0,184,g0:76.8G g1:76.0G
8,3.091416532641149,0.045437545030731726,4.9452550411224365,0.007117099279586896,3.091416532641149,0.045437545030731726,4.23291540145874,0.01244007982313633,0.0,3.091416532641149,3.1038566124642855,0.0,1.742132544517517,0.0,4711.9375,0.017911134254113323,0,184,g0:76.8G g1:76.0G
9,2.959573222996131,0.05184103701472475,4.873344302177429,0.0076477460986879384,2.959573222996131,0.05184103701472475,4.402987957000732,0.027028551325201988,0.0,2.959573222996131,2.986601774321333,0.0,0.3447505533695221,0.0,4881.33447265625,0.01508886574588668,0,185,g0:76.8G g1:76.0G
10,3.158168732383266,0.04250350514794521,4.947390913963318,0.007101914282913532,3.158168732383266,0.04250350514794521,4.823741912841797,0.07300502806901932,0.0,3.158168732383266,3.231173760452285,0.0,0.6189581751823425,0.0,4956.74560546875,0.012328270575938213,0,183,g0:76.8G g1:76.0G
11,2.9157429294588937,0.05416377621662428,4.8400009870529175,0.007907046246916523,2.9157429294588937,0.05416377621662428,4.239532470703125,0.012907507829368114,0.0,2.9157429294588937,2.928650437288262,0.0,0.4140967130661011,0.0,5006.94482421875,0.009750000000000003,0,185,g0:76.8G g1:76.0G
12,3.071046751870252,0.046372588849479264,4.874725580215454,0.007637189727281823,3.071046751870252,0.046372588849479264,4.301241397857666,0.014171294867992401,0.0,3.071046751870252,3.085218046738244,0.0,0.5573969483375549,0.0,5028.97509765625,0.007466736814155418,0,187,g0:76.8G g1:76.0G
13,3.1397074191445844,0.04329546347276226,4.989493131637573,0.006809114942635148,3.1397074191445844,0.04329546347276226,4.420444965362549,0.01707383058965206,0.0,3.1397074191445844,3.1567812497342365,0.0,1.179287075996399,0.0,5037.408203125,0.005578270575938212,0,182,g0:76.8G g1:76.0G
