iter,qwen_nll,yes_prob,perceptual,reg,total,g_audio,g_text,dz_audio,d_text,lr,is_best,t_total,peak_mem
1,1.5019289255142212,0.22270017352893068,0.0,0.0,1.5019289255142212,2.401923894882202,4.2828569412231445,1.6995413303375244,1437.4732666015625,0.03,0,142,g0:75.4G g1:75.3G
2,0.6931471824645996,0.49999999904767284,0.0,0.0,0.6931471824645996,0.6672341227531433,10.016767501831055,3.1050543785095215,2129.5654296875,0.029185850380609762,1,143,g0:75.5G g1:75.3G
3,1.31326162815094,0.26894143733631704,0.0,0.0,1.31326162815094,1.7550945281982422,4.107363224029541,3.716794013977051,2933.628662109375,0.026841599982106203,0,142,g0:75.5G g1:75.3G
4,1.31326162815094,0.26894143733631704,0.0,0.0,1.31326162815094,3.3672430515289307,2.1240084171295166,3.837481737136841,3571.76025390625,0.02325,0,143,g0:75.5G g1:75.3G
5,0.5759393572807312,0.5621765360769869,0.0,0.0,0.5759393572807312,1.292812705039978,0.9266707301139832,4.111629009246826,4049.364990234375,0.01884425039850356,1,142,g0:75.5G g1:75.3G
6,0.6931471824645996,0.49999999904767284,0.0,0.0,0.6931471824645996,0.7107457518577576,2.075549602508545,4.367391586303711,4175.6396484375,0.01415574960149644,0,142,g0:75.5G g1:75.3G
7,0.6931471824645996,0.49999999904767284,0.0,0.0,0.6931471824645996,0.529352605342865,2.6722412109375,4.476312160491943,4230.07080078125,0.009750000000000003,0,141,g0:75.5G g1:75.3G
8,0.9740769863128662,0.377540667992942,0.0,0.0,0.9740769863128662,0.47570866346359253,1.5742343664169312,4.542383670806885,4263.84912109375,0.006158400017893798,0,143,g0:75.5G g1:75.3G
9,0.7575989961624146,0.468790644981626,0.0,0.0,0.7575989961624146,0.2820861041545868,1.5728098154067993,4.568350791931152,4276.2138671875,0.0038141496193902376,0,142,g0:75.5G g1:75.3G
10,0.825939416885376,0.43782350042481233,0.0,0.0,0.825939416885376,0.7834827899932861,1.4223088026046753,4.5724616050720215,4283.2373046875,0.003,0,143,g0:75.5G g1:75.3G
