iter,qwen_nll,yes_prob,perceptual,reg,total,g_audio,g_text,dz_audio,d_text,lr,is_best,t_total,peak_mem
1,9.499940872192383,7.485625584314522e-05,0.0,0.0,9.499940872192383,0.9728211760520935,0.9525035619735718,2.2044384479522705,1246.267822265625,0.03,0,175,g0:76.7G g1:76.0G
2,9.249992370605469,9.611238533790455e-05,0.006113387178629637,1.4517081581288949e-05,9.25000688768705,0.465555876493454,1.6637943983078003,3.8173115253448486,1879.876953125,0.029185850380609762,1,181,g0:76.7G g1:76.0G
3,9.249992370605469,9.611238533790455e-05,0.0014838211936876178,7.823700434528291e-05,9.250070607609814,0.6083001494407654,1.8651190996170044,4.707075119018555,2364.750244140625,0.026841599982106203,0,179,g0:76.7G g1:76.0G
4,9.249992370605469,9.611238533790455e-05,0.004221096634864807,0.00023212713131215423,9.250224497736781,1.6020467281341553,4.1328887939453125,5.080875873565674,2631.78466796875,0.02325,0,184,g0:76.7G g1:76.0G
5,8.875068664550781,0.00013983202676114964,0.0031216598581522703,0.00045127898920327425,8.875519943539985,0.3433881402015686,0.9591900706291199,5.676174640655518,2999.805908203125,0.01884425039850356,1,179,g0:76.7G g1:76.0G
6,9.499940872192383,7.485625584314522e-05,0.002151193330064416,0.0008124567102640867,9.500753328902647,0.8586096167564392,1.9341036081314087,5.965854644775391,3135.808349609375,0.01415574960149644,0,181,g0:76.7G g1:76.0G
7,9.374966621398926,8.482106640775711e-05,0.0022079101763665676,0.0011214350815862417,9.376088056480512,0.48994046449661255,0.7927095890045166,6.141721248626709,3238.008544921875,0.009750000000000003,0,182,g0:76.7G g1:76.0G
8,9.374966621398926,8.482106640775711e-05,0.002239551395177841,0.0013981498777866364,9.376364771276712,0.20378397405147552,0.47577786445617676,6.214534282684326,3289.959228515625,0.006158400017893798,0,184,g0:76.7G g1:76.0G
9,9.125017166137695,0.00010890690032817321,0.0018124313792213798,0.0015794544015079737,9.126596620539203,0.14144784212112427,0.43463465571403503,6.238505840301514,3307.29443359375,0.0038141496193902376,0,182,g0:76.7G g1:76.0G
10,9.125017166137695,0.00010890690032817321,0.0015596440061926842,0.0016438869060948491,9.12666105304379,0.285005658864975,2.140183210372925,6.241852760314941,3311.01416015625,0.003,0,181,g0:76.7G g1:76.0G
